female,age,edu,income,region,mps,people,officials,leg2019_voted,leg2019,pres2019_1_voted,pres2019_1,pres2019_2_voted,pres2019_2
male,30,4,3,Gabes,disagree,neither agree nor disagree,strongly agree,2,NA,2,NA,2,NA
male,37,2,8,Ben Arous,agree,strongly disagree,strongly agree,1,98,1,1,1,1
male,45,2,2,Mahdia,strongly disagree,strongly agree,strongly agree,2,NA,1,1,2,NA
male,57,6,3,Sidi Bou Zid,NA,agree,disagree,1,1,1,1,1,1
male,60,6,NA,Mahdia,strongly agree,strongly disagree,agree,1,96,1,1,1,1
male,40,4,3,Mahdia,strongly disagree,strongly agree,strongly disagree,1,7,1,1,2,NA
male,31,4,6,Tunis,strongly disagree,strongly disagree,strongly agree,2,NA,2,NA,2,NA
male,27,4,5,Bizerte,neither agree nor disagree,neither agree nor disagree,agree,2,NA,1,99,1,99
male,37,5,5,Sousse,strongly agree,disagree,agree,2,NA,1,4,2,NA
male,44,2,5,Ben Arous,strongly agree,strongly agree,strongly agree,2,NA,1,1,1,1
male,35,5,3,Gafsa,agree,agree,agree,1,99,1,99,1,99
male,42,8,7,Ben Arous,agree,strongly disagree,agree,1,1,1,3,1,1
male,55,5,5,Sfax,agree,agree,agree,1,4,1,3,1,1
male,46,4,5,Monastir,agree,disagree,strongly agree,1,1,1,3,1,1
male,50,4,5,Nabeul,strongly agree,strongly agree,strongly agree,1,2,1,1,1,1
male,42,4,4,Sousse,strongly disagree,strongly disagree,strongly agree,98,NA,1,1,1,1
male,55,4,3,Tunis,strongly agree,strongly disagree,strongly agree,2,NA,2,NA,2,NA
male,24,4,8,Gafsa,strongly agree,agree,strongly agree,2,NA,1,99,1,1
male,70,4,3,Ben Arous,strongly agree,strongly agree,strongly agree,1,1,1,1,1,1
male,32,5,2,Jendouba,strongly agree,strongly agree,strongly agree,1,2,1,1,1,1
male,53,2,3,Nabeul,disagree,strongly agree,NA,2,NA,2,NA,2,NA
male,48,2,2,Kairouan,strongly agree,strongly agree,strongly agree,1,6,1,1,2,NA
male,30,8,8,Nabeul,neither agree nor disagree,strongly agree,strongly agree,1,7,2,NA,2,NA
male,32,7,8,Ben Arous,strongly agree,disagree,strongly agree,1,98,1,1,1,1
male,52,1,NA,Kebili,strongly agree,strongly agree,strongly agree,1,96,1,96,1,1
male,39,2,2,Tunis,strongly disagree,strongly disagree,strongly disagree,2,NA,2,NA,2,NA
male,49,1,3,Mahdia,strongly disagree,strongly disagree,agree,2,NA,2,NA,2,NA
male,66,2,2,Sousse,strongly disagree,strongly agree,strongly agree,2,NA,2,NA,2,NA
male,53,7,3,Nabeul,strongly agree,strongly agree,agree,2,NA,2,NA,2,NA
male,39,2,3,Sousse,strongly agree,strongly agree,strongly agree,2,NA,2,NA,1,97
male,29,8,4,Le Kef,strongly agree,strongly agree,strongly agree,1,96,1,1,1,1
male,40,2,3,Sousse,disagree,strongly agree,disagree,2,NA,2,NA,2,NA
male,43,2,3,Medenine,disagree,strongly agree,strongly agree,2,NA,1,1,2,NA
male,23,4,4,Medenine,strongly disagree,strongly agree,neither agree nor disagree,1,98,1,1,2,NA
male,22,4,8,Jendouba,strongly agree,neither agree nor disagree,agree,1,6,1,1,1,1
male,47,4,8,Monastir,disagree,strongly agree,strongly agree,1,1,1,1,1,1
male,30,4,NA,Kairouan,strongly disagree,agree,strongly agree,98,NA,1,11,1,1
male,37,5,2,Sfax,agree,strongly disagree,strongly agree,2,NA,2,NA,2,NA
male,36,3,3,Bizerte,strongly agree,agree,strongly agree,1,1,1,1,1,1
male,30,2,3,Tunis,strongly agree,strongly disagree,strongly agree,2,NA,2,NA,2,NA
male,31,4,5,Sfax,agree,strongly disagree,strongly disagree,1,7,1,1,1,1
male,68,4,2,Sousse,agree,agree,strongly disagree,1,1,98,NA,98,NA
male,42,4,4,Nabeul,strongly disagree,strongly agree,strongly agree,1,1,1,1,1,1
male,35,3,2,Sfax,strongly disagree,strongly disagree,strongly agree,1,3,1,1,1,1
male,32,7,2,Medenine,strongly agree,agree,agree,98,NA,1,1,1,1
male,25,4,8,Ben Arous,strongly disagree,strongly disagree,strongly disagree,2,NA,2,NA,2,NA
male,37,4,4,Gafsa,strongly agree,strongly agree,strongly agree,2,NA,1,1,1,1
male,29,3,3,Ariana,agree,strongly agree,strongly agree,2,NA,1,1,98,NA
male,32,4,3,Sousse,disagree,strongly disagree,strongly disagree,1,5,1,1,1,1
male,23,6,8,Jendouba,strongly agree,agree,strongly agree,1,6,1,6,1,1
male,40,4,3,Gafsa,agree,strongly agree,strongly agree,1,2,2,NA,2,NA
male,50,7,3,Ben Arous,strongly agree,strongly disagree,strongly agree,2,NA,2,NA,2,NA
male,52,4,3,Medenine,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
male,35,4,4,Gafsa,strongly disagree,strongly agree,strongly agree,2,NA,1,1,2,NA
male,40,4,3,Sfax,strongly agree,strongly agree,strongly agree,1,96,1,1,1,1
male,20,3,8,Mahdia,strongly disagree,strongly agree,strongly agree,2,NA,2,NA,2,NA
male,60,4,3,Monastir,strongly disagree,strongly disagree,strongly agree,1,1,1,1,1,1
male,21,3,3,Gabes,agree,strongly agree,strongly disagree,2,NA,2,NA,2,NA
male,52,4,4,Bizerte,strongly agree,strongly agree,strongly agree,1,6,2,NA,2,NA
male,32,8,6,Monastir,strongly agree,disagree,strongly agree,1,5,1,1,1,1
male,40,2,2,Tunis,agree,agree,agree,2,NA,2,NA,2,NA
male,29,5,3,Sousse,strongly agree,agree,strongly agree,98,NA,1,1,1,1
male,35,7,NA,Mahdia,strongly agree,agree,strongly agree,2,NA,1,99,1,99
male,39,8,NA,Tunis,NA,NA,neither agree nor disagree,2,NA,2,NA,2,NA
male,35,1,3,Sousse,strongly agree,strongly disagree,strongly disagree,2,NA,2,NA,2,NA
male,43,2,2,Nabeul,agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
male,21,3,4,Kasserine,strongly disagree,NA,strongly agree,2,NA,2,NA,2,NA
male,61,2,1,Kasserine,strongly disagree,strongly agree,strongly disagree,1,99,1,99,1,1
male,39,4,NA,Ben Arous,agree,agree,neither agree nor disagree,1,99,1,99,1,99
male,34,3,3,Gabes,neither agree nor disagree,agree,strongly agree,2,NA,98,NA,1,1
male,30,7,3,Sousse,disagree,strongly agree,strongly agree,1,99,1,99,1,99
male,28,5,NA,Sfax,NA,NA,strongly agree,2,NA,2,NA,2,NA
male,26,8,3,Sousse,strongly disagree,strongly agree,strongly agree,1,96,1,1,1,1
male,33,3,5,Sfax,agree,strongly agree,strongly disagree,2,NA,2,NA,2,NA
male,40,5,4,Kasserine,strongly agree,disagree,strongly agree,2,NA,1,1,1,1
male,23,4,3,Le Kef,strongly disagree,strongly agree,strongly agree,2,NA,2,NA,2,NA
male,35,6,3,Bizerte,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
male,50,4,3,Medenine,strongly agree,agree,strongly agree,1,5,1,8,1,1
male,52,2,3,Sfax,strongly agree,strongly agree,strongly agree,2,NA,1,1,1,1
male,50,4,3,Sidi Bou Zid,strongly agree,agree,strongly agree,1,3,1,1,1,1
male,44,7,5,Manouba,agree,strongly disagree,strongly agree,2,NA,1,7,1,1
male,35,3,NA,Nabeul,strongly agree,strongly disagree,agree,1,1,1,1,1,1
male,32,3,4,Tunis,neither agree nor disagree,strongly agree,strongly agree,2,NA,2,NA,2,NA
male,54,5,4,Monastir,agree,agree,strongly agree,2,NA,2,NA,2,NA
male,28,4,8,Ariana,strongly disagree,strongly agree,strongly disagree,1,1,1,1,2,NA
male,45,4,3,Medenine,strongly agree,strongly disagree,strongly agree,1,98,1,1,1,1
male,52,4,3,Tunis,agree,strongly disagree,agree,2,NA,2,NA,2,NA
male,35,4,3,Beja,disagree,strongly disagree,agree,1,6,1,1,1,1
male,29,4,NA,Kairouan,strongly disagree,agree,strongly agree,2,NA,2,NA,2,NA
male,40,4,4,Siliana,strongly agree,disagree,disagree,2,NA,2,NA,2,NA
male,22,3,3,Medenine,strongly agree,strongly agree,strongly agree,1,99,1,1,2,NA
